training_number,generation,timestamp,best_fitness,worst_fitness,avg_fitness,median_fitness,std_fitness,best_distance,avg_distance,median_distance,best_stability,avg_stability,best_energy,avg_energy,best_time_alive,avg_time_alive,absolute_best_fitness,absolute_best_distance,population_size,genome_length,mutation_rate,crossover_rate,elite_size
2,24,2025-11-02 17:26:16,3.684788703918457,0,2.3382714080810545,2.602850914001465,0.9862384878540356,3.184788703918457,1.8252974510192872,2.102850914001465,1.0,1.0,460,465.52,500,500.0,3.684788703918457,3.184788703918457,50,500,0.1,0.7,5
2,25,2025-11-02 17:26:47,3.684788703918457,0,2.1806437492370607,2.568545341491699,1.1820026802710313,3.184788703918457,1.6367030239105225,2.068545341491699,1.0,1.0,460,466.32,500,500.0,3.684788703918457,3.184788703918457,50,500,0.1,0.7,5
2,26,2025-11-02 17:27:18,3.684788703918457,0,1.7896826934814454,2.279942035675049,1.3319901014886584,3.184788703918457,1.2440154504776002,1.7799420356750488,1.0,1.0,460,465.66,500,500.0,3.684788703918457,3.184788703918457,50,500,0.1,0.7,5
2,27,2025-11-02 17:27:48,3.684788703918457,0,2.0362897396087645,2.5778279304504395,1.2278937346756553,3.184788703918457,1.4512954044342041,2.0778279304504395,1.0,0.98,460,462.4,500,496.38,3.684788703918457,3.184788703918457,50,500,0.1,0.7,5
2,28,2025-11-02 17:28:19,3.729996681213379,0,1.8239625740051268,2.325307846069336,1.3457565530009832,3.229996681213379,1.2554258346557616,1.825307846069336,1.0,0.98,472,463.76,500,498.34,3.684788703918457,3.184788703918457,50,500,0.1,0.7,5
2,29,2025-11-02 17:28:50,3.729996681213379,0,1.9608509063720703,2.3093035221099854,1.236250862955144,3.229996681213379,1.4329910945892335,1.8093035221099854,1.0,0.98,472,465.54,500,498.34,3.729996681213379,3.229996681213379,50,500,0.1,0.7,5
2,30,2025-11-02 17:29:21,3.729996681213379,0,1.897337989807129,2.3487021923065186,1.2815346369866076,3.229996681213379,1.3570096111297607,1.8487021923065186,1.0,0.94,472,459.3,500,491.66,3.729996681213379,3.229996681213379,50,500,0.1,0.7,5
2,31,2025-11-02 17:29:52,3.729996681213379,0,1.632264223098755,1.3462936878204346,1.3512485050295269,3.229996681213379,1.0651320934295654,0.8462936878204346,1.0,0.96,472,461.9,500,493.16,3.729996681213379,3.229996681213379,50,500,0.1,0.7,5
2,32,2025-11-02 17:30:25,3.729996681213379,0,1.6910231399536133,1.9007232189178467,1.4315409534585382,3.229996681213379,1.129002766609192,1.4007232189178467,1.0,0.98,472,466.52,500,498.48,3.729996681213379,3.229996681213379,50,500,0.1,0.7,5
2,33,2025-11-02 17:30:56,3.729996681213379,0,1.4346006965637208,0.7950513362884521,1.4186643962275003,3.229996681213379,0.8539612293243408,0.29505133628845215,1.0,0.98,472,465.22,500,497.54,3.729996681213379,3.229996681213379,50,500,0.1,0.7,5
