training_number,total_generations,start_date,end_date,total_duration_seconds,avg_generation_duration_seconds,first_best_fitness,final_best_fitness,best_fitness_ever,best_distance_ever,avg_fitness,avg_distance,avg_stability,avg_energy,final_time_limit
35,100,2025-11-04 12:34:18,2025-11-04 12:36:20,121.996532,1.21996532,361.06472930908205,732.1923553466797,732.025008392334,3.8129730224609375,465.4896010817718,1.3690218108177188,0.9652000000000001,470.7967999999999,702
36,100,2025-11-04 12:36:21,2025-11-04 12:38:26,124.56465399999998,1.2456465399999999,402.6932174682617,763.7290473937989,763.7290473937989,4.097606658935547,484.76744042263033,1.5258634042263028,0.9728,470.18300000000005,704
37,100,2025-11-04 12:38:27,2025-11-04 12:40:32,124.28016099999999,1.24280161,416.4654998779297,738.7637428283691,747.147745513916,3.82747745513916,514.2561977740479,1.7857057777404786,0.977,469.1318,694
38,100,2025-11-04 12:40:33,2025-11-04 12:42:42,128.50289600000002,1.2850289600000002,464.991024017334,751.6102104187012,768.089241027832,3.99089241027832,488.1844059419632,1.527519059419632,0.9736000000000001,462.42299999999994,699
39,100,2025-11-04 12:42:44,2025-11-04 12:44:52,127.544823,1.2754482299999998,432.6406341552735,830.5170127868653,831.5070945739747,4.633170127868652,502.56779896194456,1.5743747896194458,0.9934000000000002,471.6738,731
40,100,2025-11-04 12:44:53,2025-11-04 12:47:03,129.368208,1.2936820800000002,482.2154457092285,699.2662673950196,699.2662673950196,3.5616626739501958,469.3401541046906,1.3911067410469056,0.9853999999999999,467.56020000000007,678
41,100,2025-11-04 12:47:04,2025-11-04 12:49:15,130.44527699999998,1.3044527699999997,453.1696617126465,774.0154312133789,772.3410995483398,4.165410995483398,501.74560467407224,1.6275538467407227,0.9950000000000001,469.6297999999999,708
42,100,2025-11-04 12:49:16,2025-11-04 12:51:26,128.888477,1.28888477,385.5538272857666,726.071198272705,726.071198272705,3.782711982727051,523.1990031625749,1.8601380316257479,0.9984000000000001,466.22399999999993,689
43,103,2025-11-04 12:51:27,2025-11-04 13:11:13,120.40388200000001,1.16896972815534,386.1540180206299,754.4675689697266,754.4675689697266,4.013675689697266,471.9995925877024,1.3870671880129475,0.9879611650485437,467.5062135922329,700
44,100,2025-11-04 13:11:14,2025-11-04 13:13:08,112.96802100000002,1.1296802100000003,434.6375442504883,706.8622573852539,710.7366012573242,3.6281051635742183,482.1201618324661,1.5582702183246613,0.9611999999999999,473.6116,681
45,100,2025-11-04 13:13:09,2025-11-04 13:15:03,113.92267899999999,1.13922679,459.1757637023926,680.8157775878906,685.4771507263183,3.441771507263184,451.7768031618881,1.2648052316188814,0.9904000000000001,471.33420000000007,671
46,101,2025-11-04 13:15:04,2025-11-04 13:17:10,122.75688200000003,1.215414673267327,406.9976119995117,718.0735000610351,718.0735000610351,3.7217721939086914,495.49674836375925,1.6102011470039295,0.9994059405940594,472.43366336633665,686
47,100,2025-11-04 13:17:12,2025-11-04 13:19:12,119.84065599999998,1.1984065599999998,718.0735000610351,723.4475677490234,723.4475677490234,3.7664756774902335,538.3956450032425,1.925547250032425,0.9996,471.30379999999997,688
48,100,2025-11-04 13:19:13,2025-11-04 13:21:13,118.87690299999998,1.1887690299999998,723.4475677490234,765.48818359375,772.1039024353028,4.1038818359375,544.1859128958893,1.9353669289588928,0.9956000000000002,470.1448,705
49,100,2025-11-04 13:21:14,2025-11-04 13:23:17,122.14121,1.2214121,765.48818359375,783.8809440612793,783.8809440612793,4.240809440612793,561.2637599344635,2.0437471993446352,0.9976000000000002,467.1646,712
50,100,2025-11-04 13:23:18,2025-11-04 13:25:21,123.066518,1.23066518,783.8809440612793,797.5484008789062,797.5484008789062,4.355484008789063,551.4115921839524,1.9231671218395232,0.9958000000000001,465.4871999999999,717
51,100,2025-11-04 13:25:23,2025-11-04 13:30:12,288.91906600000004,2.8891906600000006,797.5484008789062,812.051594543457,812.051594543457,4.473142623901367,567.1755357249451,2.032212157249451,0.9968,464.86880000000014,723
52,100,2025-11-04 13:30:14,2025-11-04 13:32:26,131.304069,1.31304069,812.051594543457,812.051594543457,812.051594543457,4.46751594543457,568.7332013937379,2.0415906139373776,0.9982000000000001,464.0656000000001,723
53,100,2025-11-04 13:32:27,2025-11-04 13:34:36,128.066563,1.28066563,812.051594543457,812.051594543457,812.051594543457,4.46751594543457,561.6777210186386,1.9724838101863864,0.9980000000000001,464.1486,723
54,100,2025-11-04 13:34:37,2025-11-04 13:36:46,128.893101,1.28893101,812.051594543457,812.051594543457,812.051594543457,4.46751594543457,560.4642727307511,1.96457852730751,0.9964000000000002,464.28480000000013,723
55,100,2025-11-04 13:36:48,2025-11-04 13:38:53,124.330441,1.24330441,812.051594543457,812.051594543457,812.051594543457,4.46751594543457,553.7557081310654,1.8946196813106537,0.9972,464.18559999999997,723
56,100,2025-11-04 13:38:54,2025-11-04 13:41:00,124.89479600000001,1.2489479600000002,812.051594543457,839.8961547851562,856.1156982421875,4.742156982421875,583.3682379804611,2.166571379804611,0.9948,464.96,734
57,100,2025-11-04 13:41:01,2025-11-04 13:43:11,130.05506499999998,1.30055065,839.8961547851562,854.3957069396972,856.1156982421875,4.742156982421875,629.0840908029938,2.5764925080299377,0.9940000000000001,467.5346,740
